ref_name,isolate_id
Chin15,297877
Chin15,297878
Chin15,297879
Chin15,297880
Chin15,297881
Chin15,297882
Chin15,297883
Chin15,297884
Chin15,297885
Chin15,297886
Chin15,297887
Chin15,297888
Chin15,297889
Chin15,297890
Chin15,297891
Chin15,297892
Chin15,297893
Chin15,297894
Chin15,297895
Chin15,297896
Chin15,297897
Chin15,297898
Chin15,297899
Chin15,297900
Chin15,297901
Chin15,297902
Chin15,297903
Chin15,297904
Chin15,297905
Chin15,297906
Chin15,297907
Chin15,297908
Chin15,297909
Chin15,297910
Chin15,297911
Chin15,297912
Chin15,297913
Chin15,297914
Chin15,297915
Chin15,297916
Chin15,297917
Chin15,297918
Chin15,297919
Chin15,297920
Chin15,297921
Chin15,297922
Chin15,297923
Chin15,297924
Chin15,297925
Chin15,297926
Chin15,297927
Chin15,297928
Chin15,297929
Chin15,297930
Chin15,297931
Chin15,297932
Chin15,297933
Chin15,297934
Chin15,297935
Chin15,297936
Chin15,297937
Chin15,297938
Chin15,297939
Chin15,297940
Chin15,297941
Chin15,297942
Chin15,297943
Chin15,297944
Chin15,297945
Chin15,297946
Chin15,297947
Chin15,297948
Chin15,297949
Chin15,297950
Chin15,297951
Chin15,297952
Chin15,297953
Chin15,297954
Chin15,297955
Chin15,297956
Chin15,297957
Chin15,297958
Chin15,297959
Chin15,297960
Chin15,297961
Chin15,297962
Chin15,297963
Chin15,297964
Chin15,297965
Chin15,297966
Chin15,297967
Chin15,297968
Chin15,297969
Chin15,297970
Chin15,297971
Chin15,297972
Chin15,297973
Chin15,297974
Chin15,297975
Chin15,297976
Chin15,297977
Chin15,297978
Chin15,297979
Chin15,297980
Chin15,297981
Chin15,297982
Chin15,297983
Chin15,297984
Chin15,297985
Chin15,297986
Chin15,297987
Chin15,297988
Chin15,297989
Chin15,297990
Chin15,297991
Chin15,297992
Chin15,297993
Chin15,297994
Chin15,297995
Chin15,297996
Chin15,297997
Chin15,297998
Chin15,297999
Chin15,298000
Chin15,298001
Chin15,298002
Chin15,298003
Chin15,298004
Chin15,298005
Chin15,298006
Chin15,298007
Chin15,298008
Chin15,298009
Chin15,298010
Chin15,298011
Chin15,298012
Chin15,298013
Chin15,298014
Chin15,298015
Chin15,298016
Chin15,298017
Chin15,298018
Chin15,298019
Chin15,298020
Chin15,298021
Chin15,298022
Chin15,298023
Chin15,298024
Chin15,298025
Chin15,298026
Chin15,298027
Chin15,298028
Chin15,298029
Chin15,298030
Chin15,298031
Chin15,298032
Chin15,298033
Chin15,298034
Chin15,298035
Chin15,298036
Chin15,298037
Chin15,298038
Chin15,298039
Chin15,298040
Chin15,298041
Chin15,298042
Chin15,298043
Chin15,298044
Chin15,298045
Chin15,298046
Chin15,298047
Chin15,298048
Chin15,298049
Chin15,298050
Chin15,298051
Chin15,298052
Chin15,298053
Chin15,298054
Chin15,298055
Chin15,298056
Chin15,298057
Chin15,298058
Chin15,298059
Chin15,298060
Chin15,298061
Chin15,298062
Chin15,298063
Chin15,298064
Chin15,298065
Chin15,298066
Chin15,298067
Chin15,298068
Chin15,298069
Chin15,298070
Chin15,298071
Chin15,298072
Chin15,298073
Chin15,298074
Chin15,298075
Chin15,298076
Chin15,298077
Chin15,298078
Chin15,298079
Chin15,298080
Chin15,298081
Chin15,298082
Chin15,298083
Chin15,298084
Chin15,298085
Chin15,298086
Chin15,298087
Chin15,298088
Chin15,298089
Chin15,298090
Chin15,298091
Chin15,298092
Chin15,298093
Chin15,298094
Chin15,298095
Chin15,298096
Chin15,298097
Chin15,298098
Chin15,298099
Chin15,298100
Chin15,298101
Chin15,298102
Chin15,298103
Chin15,298104
Chin15,298105
Chin15,298106
Chin15,298107
Chin15,298108
Chin15,298109
Chin15,298110
Chin15,298111
Chin15,298112
Chin15,298113
Chin15,298114
Chin15,298115
Chin15,298116
Chin15,298117
Chin15,298118
Chin15,298119
Chin15,298120
Chin15,298121
Chin15,298122
Chin15,298123
Chin15,298124
Chin15,298125
Chin15,298126
Chin15,298127
Chin15,298128
Chin15,298129
Chin15,298130
Chin15,298131
Chin15,298132
Chin15,298133
Chin15,298134
Chin15,298135
Chin15,298136
Chin15,298137
Chin15,298138
