ref_name,isolate_id
Ng11,175169
Ng11,175170
Ng11,175171
Ng11,175172
Ng11,175173
Ng11,175174
Ng11,175175
Ng11,175176
Ng11,175177
Ng11,175178
Ng11,175179
Ng11,175180
Ng11,175181
Ng11,175182
Ng11,175183
Ng11,175184
Ng11,175185
Ng11,175186
Ng11,175187
Ng11,175188
Ng11,175189
Ng11,175190
Ng11,175191
Ng11,175192
Ng11,175193
Ng11,175194
Ng11,175195
Ng11,175196
Ng11,175197
Ng11,175198
Ng11,175199
Ng11,175200
Ng11,175201
Ng11,175202
Ng11,175203
Ng11,175204
Ng11,175205
Ng11,175206
Ng11,175207
Ng11,175208
Ng11,175209
Ng11,175210
Ng11,175211
Ng11,175212
Ng11,175213
Ng11,175214
Ng11,175215
Ng11,175216
Ng11,175217
Ng11,175218
Ng11,175219
Ng11,175220
Ng11,175221
Ng11,175222
Ng11,175223
Ng11,175224
Ng11,175225
Ng11,175226
Ng11,175227
Ng11,175228
Ng11,175229
Ng11,175230
Ng11,175231
Ng11,175232
Ng11,175233
Ng11,175234
Ng11,175235
Ng11,175236
Ng11,175237
Ng11,175238
Ng11,175239
Ng11,175240
Ng11,175241
Ng11,175242
Ng11,175243
Ng11,175244
Ng11,175245
Ng11,175246
Ng11,175247
Ng11,175248
Ng11,175249
Ng11,175250
Ng11,175251
Ng11,175252
Ng11,175253
Ng11,175254
Ng11,175255
Ng11,175256
Ng11,175257
Ng11,175258
Ng11,175259
Ng11,175260
Ng11,175261
Ng11,175262
Ng11,175263
Ng11,175264
Ng11,175265
Ng11,175266
Ng11,175267
Ng11,175268
Ng11,175269
Ng11,175270
Ng11,175271
Ng11,175272
Ng11,175273
Ng11,175274
Ng11,175275
Ng11,175276
Ng11,175277
Ng11,175278
Ng11,175279
Ng11,175280
Ng11,175281
Ng11,175282
Ng11,175283
Ng11,175284
Ng11,175285
Ng11,175286
Ng11,175287
Ng11,175288
Ng11,175289
Ng11,175290
Ng11,175291
Ng11,175292
Ng11,175293
Ng11,175294
Ng11,175295
Ng11,175296
Ng11,175297
Ng11,175298
Ng11,175299
Ng11,175300
Ng11,175301
Ng11,175302
Ng11,175303
Ng11,175304
Ng11,175305
Ng11,175306
Ng11,175307
Ng11,175308
Ng11,175309
Ng11,175310
Ng11,175311
Ng11,175312
Ng11,175313
Ng11,175314
Ng11,175315
Ng11,175316
Ng11,175317
Ng11,175318
Ng11,175319
Ng11,175320
Ng11,175321
Ng11,175322
Ng11,175323
Ng11,175324
Ng11,175325
Ng11,175326
Ng11,175327
Ng11,175328
Ng11,175329
Ng11,175330
Ng11,175331
Ng11,175332
Ng11,175333
Ng11,175334
Ng11,175335
Ng11,175336
Ng11,175337
Ng11,175338
Ng11,175339
Ng11,175340
Ng11,175341
Ng11,175342
Ng11,175343
Ng11,175344
Ng11,175345
Ng11,175346
Ng11,175347
Ng11,175348
Ng11,175349
Ng11,175350
Ng11,175351
Ng11,175352
Ng11,175353
Ng11,175354
Ng11,175355
Ng11,175356
Ng11,175357
Ng11,175358
Ng11,175359
Ng11,175360
Ng11,175361
Ng11,175362
Ng11,175363
Ng11,175364
Ng11,175365
Ng11,175366
